V Mag. (mV)	Proper name	Bayer designation	Distance (ly)  	Spectral class	Mass (M☉)	Radius (R☉)    Luminosity (Lo)    Star	    Constellation   Right

−26.74	Sun	 	0.000015813	G2	1	1	1

−1.46	Sirius	α CMa	8.6	A1	2.1	1.71´	25.4

−0.74	Canopus	α Car	310	A9	15	71	13 500

−0.27	Alpha Centauri	α Cen	4.4	G2	1.1	1.2	2

−0.05	Arcturus	α Boo	37	K2	1.1	26	170

0.03	Vega	α Lyr	25	A0	2.2	2.7	50

0.08	Capella	α Aur	43	G8	2.6	12	150

0.13	Rigel	β Ori	860	B8	23	78.9	120 000

0.34	Procyon	α CMi	11.4	F5	1.5	1.9	7.7

0.45	Betelgeuse	α Ori	640[1]	M2	20	950	60 000

0.46	Achernar	α Eri	144	B3	6.7	9.3	3 000

0.61	Hadar	β Cen	390	B1	10.5	8.6	42 000

0.76	Altair	α Aql	17	A7	1.8	1.8	10.5

0.76	Acrux	α Cru	320	B0.5	18	8.9	25 000

0.86	Aldebaran	α Tau	65	K5	1.5	44	520

0.96	Antares	α Sco	600	M1.5	12	680	75 000

0.97	Spica	α Vir	260	B1	11.43	7.47	20 512

1.14	Pollux	β Gem	34	K0	1.9	8.8	43

1.16	Fomalhaut	α PsA	25	A3	1.9	1.8	16.6

1.25	Deneb	α Cyg	2 600	A2	19	203	200 000

1.25	Mimosa	β Cru	350	B0.5	16	8.4	34 000

1.39	Regulus	α Leo	77	B7	3.8	3.1	290

1.50	Adhara	ε CMa	430	B2	12.5	14	39 000

1.62	Shaula	λ Sco	700	B2	14.5	8.8	36 000

1.62	Castor	α Gem	52	A1	2.8	2.4	30

1.64	Gacrux	γ Cru	88	M3.5	1.5	84	820

1.64	Bellatrix	γ Ori	240	B2	8.6	5.8	9 200

1.65	Elnath	β Tau	130	B7	5.0	4.2	700

1.69	Miaplacidus	β Car	110	A1	3.5	6.8	290

1.69	Alnilam	ε Ori	2 000	B0	32	42	380 000

1.72	Gamma Velorum	γ1 2 Vel	1 100	WC8	9.0	6	170 000

1.74	Alnair	α Gru	101	B7	4.0	3.4	260

1.77	Alioth	ε UMa	81	A1	2.9	4.2	110

1.77	Alnitak	ζ Ori	1050	O9.7	33	20	120 000

1.79	Dubhe	α UMa	120	G9	4.25	30	300

1.80	Mirfak	α Per	590	F5	8.5	68	5 000

1.82	Wezen	δ CMa	1 600	F8	17	200	82 000

1.84	Sargas	θ Sco	270	F0	5.7	26	1 800

1.85	Kaus Australis	ε Sgr	140	B9.5	3.5	6.8	360

1.86	Avior	ε Car	630	K3	9.0	130	60 000

1.86	Alkaid	η UMa	104	B3	6.1	3.4	1 350

1.90	Menkalinan	β Aur	81	A1	2.39	2.77	50

1.91	Atria	α TrA	390	K2	7	92	5 500

1.92	Alhena	γ Gem	109	A1.5	2.8	3.3	120

1.94	Peacock	α Pav	180	B3	5.9	4.8	2 200

1.96	Alsephina[2]	δ Vel	80	A1	2.4	2.9	90

1.98	Mirzam	β CMa	500	B1	13.5	10	27 000

1.98	Polaris	α UMi	430	F8	5.4	39	2 500

2.00	Alphard	α Hya	180	K3	3.0	50	780

2.23	Mintaka	δ Ori	1200	O9.5	24	16.5	190 000

2.42	Scheat	β Peg	196	M2.5	2.1	95	1 500

2.98	Almaaz	ε Aur	653	F0	15	140	43 000

3.35	Rasalgethi	α Her	360	M5	2.8	280	8 300

3.50	Tau Ceti	τ Cet	11.9	G8	0.783	0.893	0.52

3.56	Delta Pavonis	δ Pav	19.92	G8	0.991	1.22	1.22

3.74	Ran	ε Eri	10.48	K2	0.82	0.74	0.34

3.83	V382 Carinae	Car	8 900	G2	20	485	212 000

4	Eta Carinae	η Car	7 500	O	100	60–881	5 000 000

4.07	Delta Cephei	δ Cep	887	F5	4.5	44.5	2 000

4.08	Mu Cephei	μ Cep	6 000	M2	19.2	972	135 000

4.09	Titawin	υ And	44.25	F8	1.27	1.48	3.57

4.1	Rho Cassiopeiae	ρ Cas	8 154	G2	22	636-981	347 000 - 530 000

4.82	P Cygni	P Cyg	5 545	B1	30	76	610 000

4.86	La Superba	CVn	1 000	C5		129 - 342	2 472 - 5 800

4.91	VV Cephei	Cep	4 900	M2	18.2	516 - 1 050	200 000

5.20	61 Cygni	Cyg	11.41	K5	0.7	0.665	0.153

5.4	R Doradus	Dor	178	M8	0.7 - 1.0	298	4 350

5.47	Polaris Australis	Oct	281	F0	1.59	3.74	38

5.71	R Coronae Borealis	Bor	4 566	G0	0.85	85	10 000

5.88	54 Piscium	Psc	36.1	K0	0.76	0.94	0.52

6.57	Mira	ο Ceti	300	M7	1.2	370	9 000

6.65	RW Cephei	Cep	14 000	K2	13.9	1 158	417 000

6.67	Lacaille 8760	Mic	12.87	M0	0.6	0.51	0.072

6.75	V838 Monocerotis	Mon	19 896	M6	?	380 - 750	15 000

7.25	HD 140283	Lib	190	F?	?	1.4	3.83

7.4	II Pegasi	Peg	130	K2	0.8	3.4	1.06

8.05	VY Canis Majoris	CMa	3 900	M5	17	1 420	178 000 - 270 000

8.3	Pistol Star	Sgr	25 000	B3	100	320	1 700 000

8.6	S Doradus	Dor	169 000	B8	24	380	910 000

8.9	UY Scuti	Sct	5 100	M4	7–10	755	86 300 - 87 100

9.5	Barnard's Star	Oph	5.98	M4	0.14	0.20	0.0035

10.7	Luhman 16	Vel	6.52	L7	0.04	?	?

11.13	Proxima Centauri	Cen	4.25	M6	0.12	0.15	0.0017

11.71	KIC 8462852	Cyg	1 470	F3	1.43	1.58	4.68

12.23	R136a1	Dor	163 000	WN5	290	32	8 710 000

12.78	Melnick 42	Dor	163 000	O2	189	21.1	3 600 000

14.10	WR 102	Sag	18 134	WO2	19	0.39	282 000

14.38	VFTS 352	Dor	164 000	O5	57.48	14.47	330 000

14.68	YBP 1194	Cnc	2 772	G5	1.01	0.99	0.98

14.71	Gliese 1214	Oph	47.5	M4.5	0.16	0.21	0.0033

16.6	NML Cygni	Cyg	5 251	M6	50	1 640 - 2 770	229 000

17.30	VB 10	Aql	18.72	M8	0.075	0.10	0.0004

18.46	WOH G64	Dor	163 000	M5	<20	1 540 - 1 730	340-589 000

18.80	TRAPPIST-1	Aqr	39.6	M8	0.089	0.12	0.0005

21.05	2MASS J0523-1403	Lep	40.3	L2.5	0.07	0.086	0.00013

25	WISE 0855−0714	Hya	7.27	Y2	0.003	?	?

28.4	Icarus	Leo	14 400 000 000	B?	33	?	850 000

ascension	Declination	App.

mag.	Distance (ly)	Spectral

type	Brown dwarf	Mass

(MJ)	Radius

(RJ)	Orbital

period

(d)	Semimajor

axis

(AU)	Ecc.	Discovery

year

54 Piscium	Pisces	00h 39m 22s	+21° 15′ 02″	5.88	36.1	K0V	B	53			476		2006

81 Cancri	Cancer	9 h 12 m 14.69s	14°  59 ′  39.6″	6.77	66	L8	CD						

AB Pictoris	Pictor	06h 19s	−58° 03′ 15″	9.16	66.6	K2V	b	13.5			275		2005

CD−33°7795	Hydra	11h 31m 55s	–34° 36′ 17″	11.37	163.08	M1	b	20			100		1998

CT Chamaeleontis	Chamaeleon	11h 04m 09s	–76° 27′ 19″	12.36	538	K7	b	17	2.2		440		2008

Eta Coronae Borealis	Corona Borealis	15h 23m 22.6s	30° 14′ 56″	5.02	58.3	L8	C	63			3600		2010

G 196-3	Ursa Major	10h 04m 22s	+50° 23′ 23″	11.77	50.2	M2.5	b	25			300		1998

GD 165	Boötes	14h 24m 39.144s	9° 17′ 13.98″	14.6	103	D4A+L4	B						1988

Gliese 570	Libra	14h 57m 28s	−21° 24′ 56″	5.64	19.0	K4V+

M1V+M3V	D	52			1500		2000

GU Piscium	Pisces	01h 12m 35.04s	+17° 03′ 55.7″	13.1	155.3	M3V	b	11			2000		2006

HD 89744	Ursa Major	10h 22m 10.56s	+41° 13′ 46.31″	5.74	126.2	F7IV	B						2000

HD 100546	Musca	11h 33m 25s	–70° 11′ 41″	6.70	337.25	B9Vne	b	20			6.5?		2005

HN Pegasi	Pegasus	21h 44m 28.46s	+14° 46′ 7.8″		58.3	T2.5	B	28	1.01		795		2006

LHS 4040 [es]	Sculptor	23 h 54 m 9.28s	－33°  16 ′  26.6″	20.7		M8.5V	C				2200		2004

UScoCTIO 108	Scorpius	16h 05m 54s	–18° 18′ 43″		473	M7	b	14			670		2007

WD 0137-349	Sculptor	01h 39m 43s	−34° 42′ 39″	15.33	330	DA	B	53		0.0803	0.0030	0	2006

HD 41004 B	Pictor	05h 59m 50s	–48° 14′ 23″	12.33	139	M2	b	18.4		1.3283	0.0177	0.081	2004

HD 283750	Taurus	04h 36m 48s	+27° 08′ 00″	8.42	53.81	K2V	b	50		1.79	0.025	0.02	1996

HD 149382	Ophiuchus	16h 34m 23s	−04° 00′ 52″	8.95	241	B5VI	b	15.5		2.391		0	2009[6]

COROT-15	Monoceros	06h 28m 27.81s	+6° 11′ 10.5″	22		F7V	b	63.4	1.12	3.06036	0.045	0	2010

Xi Ursae Majoris B	Ursa Major	11h 18m 12s	+31° 32′ 15″	4.73	25.11	F8.5V	b	37		3.98	0.06	0	1931

Upsilon Andromedae	Andromeda	01h 36m 48s	+41° 24′ 20″	4.63	43.9	F8V	Samh	13.98		237.7	0.822	0.224	1999

Gliese 758	Lyra	19h 23m 34s	+33° 13′ 19″	6.36	51.9	G8V	B	23		96	21		2009

HD 112758	Virgo	12h 59m 03s	–09° 50′ 03″	7.56	53.81	K0V	b	35		103.22	0.35	0.16	1996

BD−04°782	Eridanus	04h 15m 10s	–04° 25′ 06″	9.39	66.6	K5V	b	21		240.92	0.7	0.28	1996

HD 110833	Canes Venatici	12h 44m 16s	+51° 45′ 40″	7.04	55.44	K3V	b	17		270.04	0.8	0.69	1996

HD 89707	Hydra	10h 20m 50s	–15° 28′ 48″	7.19	81.54	G1V	b	54		298.25		0.95	1991

Tau Geminorum	Gemini	07h 11m 08s	+30° 14′ 43″	4.40	302	K2III	b	18.1		305			2004

HAT-P-13	Ursa Major	08h 39m 32s	+47° 21′ 07″	10.62	698	G4	c	15.2		428.5	1.186	0.691	2009

HD 217580	Aquarius	23h 01m 52s	–03° 50′ 55″	7.46	58.7	K4V	b	60		454.66	1	0.52	1994

HD 16760	Perseus	02h 42m 21s	+38° 37′ 07″	8.74	163	G5V	b	14.3		465.1	1.13	0.067	2009

HD 13189	Triangulum	02h 09m 40s	+32° 18′ 59″	7.57	603.4	K2II	b	14		471.6	1.85	0.28	2005

HD 18445	Fornax	02h 57m 13s	–24° 58′ 30″	7.78	83.92	K2V	b	39		554.67	0.9	0.54	1991

HD 8673	Andromeda	01h 26m 09s	+34° 34′ 47″	6.31	124.75	F7V	b	14		639	1.58		2005

NGC 4349-127	Crux	12h 24m 08s	−61° 52′ 18″	7.4	7097	MIII?	b	19.8		677.8	2.38	0.19	2007

Gliese 569	Boötes	14h 54m 29s	+16° 06′ 04″	10.2	31.5	M3V	Ba + Bb	116[7]		870[7]	0.87[7]	0.317[7]	1988[8]

HD 29587	Perseus	04h 41m 34s	+42° 07′ 25″	7.29	146.77	G2V	b	40		1471.7	2.5	0.37	1996

ChaHα8	Chamaeleon	11h 07m 48s	−77° 40′ 08″	20.1	522	M6.5	b	18		1590.9	1	0.49	2007

COROT-20	Monoceros	06h 30m 55.3s	+0° 13′ 37″	14.66	4000	G2V	c	17		1675	2.9	0.6	2010

HD 168443	Serpens	18h 20m 04s	–09° 35′ 34″	6.92	123.5	G5	c	34		1739.5	2.87	0.228	2001

HD 38529 A	Orion	05h 46m 34s	+01° 10′ 05″	5.94	138	G4IV	c	37		2174.3	3.68	0.36	2002

Epsilon Indi	Indus	22h 03m 22s	–56° 47′ 09″	4.69	11.8	K5V	Bb	28		5478.75	2.65		2003

HW Virginis	Virgo	12h 44m 20s	−08° 40′ 17″	10.9	590	sdB+M	b	19.23		5786	5.30	0.46	2008

DT Virginis	Virgo	13h 0m 41.74s	12°  21 ′  14.7″	9.72	37.55	P	c	12.5	1.1	33081			2010

HD 4113	Sculptor	00h 43m 12.60s	−37° 58′ 57.48″	7.88	136	G5V	C	60		73000	20		2006

Gliese 229	Lepus	06h 10m 35s	–21° 51′ 42″	8.14	19	M1V	B	40		73050	40		1995

TYC 9486-927-1	Octans	21h 26m 50.4s	－81° 40′ 29.3″	11.82	111	L3γ	2MASS J2126-8140	13.3 (± 1.7)  MJ		328725000	6900		2009/2016

Epsilon Indi	Indus	22h 03m 22s	–56° 47′ 09″	4.69	11.8	K5V	Ba	47		1532899.8			2003

HD 131664	Apus	15h 00m 06s	−73° 32′ 07″	8.13	180.8	G3V	b	18.15		1951	3.17	0.638	2008

HD 136118	Serpens	15h 18m 55s	−01° 35′ 32″	6.94	171	F9V	b	42		1209	1.45	0.352	2002

HD 140913	Corona Borealis	15h 45m 07s	+28° 28′ 12″	8.07	156.42	G0V	b	46		147.94	0.54	0.61	1996

GQ Lupi	Lupus	15h 49m 12s	–35° 39′ 03″	11.4	400	K7eV	b	1-42	1.8		103		2005

HD 162020	Scorpius	17h 50m 38s	–40° 19′ 06″	9.18	101.95	K2V	b	15.0		8.428198	0.0751	0.277	2000

Nu Ophiuchi	Ophiuchus	17h 59m 01s	−09° 46′ 25″	3.33	152.8	K0III	b	21.9		536		0.13	2004

HD 164427	Telescopium	18h 04m 43s	−59° 12′ 35″	6.89	127.52	G4IV	b	46		108.55	0.46	0.55	2000

SCR 1845-6357	Pavo	18h 45m 07s	−63° 57′ 43″	17.4	12.57	M8.5V	B	40-50			4.1		2006

COROT-3	Aquila	19h 28m 13s	+00° 07′ 19″	13.3	2220	G0V	b	21.66	1.01	4.2568	0.057	0	2008

15 Sagittae	Sagitta	20h 04m 06s	+17° 04′ 13″	5.80	57.7	G1V	B	65			14		2002

Zeta Delphini	Delphinus	20h 35m 19s	+14° 40′ 27″	4.65	220	A3V	B	55			910		2014

HD 202206	Capricornus	21h 14m 58s	–20° 47′ 20″	8.08	151.14	G6V	b	17.4		255.87	0.83	0.435	2000

